county,fips,date,type,pct_diff
Alameda County,06001,2020-06-21,parks,35
Alameda County,06001,2020-06-21,transit,-47
Alameda County,06001,2020-06-21,workplaces,-14
Alameda County,06001,2020-06-21,residential,7
Alameda County,06001,2020-06-22,retail,-44
Alameda County,06001,2020-06-22,grocery,-19
Alameda County,06001,2020-06-22,parks,26
Alameda County,06001,2020-06-22,transit,-60
Alameda County,06001,2020-06-22,workplaces,-54
Alameda County,06001,2020-06-22,residential,20
Alameda County,06001,2020-06-23,retail,-43
Alameda County,06001,2020-06-23,grocery,-13
Alameda County,06001,2020-06-23,parks,39
Alameda County,06001,2020-06-23,transit,-60
Alameda County,06001,2020-06-23,workplaces,-54
Alameda County,06001,2020-06-23,residential,21
Alameda County,06001,2020-06-24,retail,-44
Alameda County,06001,2020-06-24,grocery,-14
Alameda County,06001,2020-06-24,parks,35
Alameda County,06001,2020-06-24,transit,-60
Alameda County,06001,2020-06-24,workplaces,-52
Alameda County,06001,2020-06-24,residential,21
Alameda County,06001,2020-06-25,retail,-43
Alameda County,06001,2020-06-25,grocery,-13
Alameda County,06001,2020-06-25,parks,38
Alameda County,06001,2020-06-25,transit,-59
Alameda County,06001,2020-06-25,workplaces,-53
Alameda County,06001,2020-06-25,residential,21
Alameda County,06001,2020-06-26,retail,-46
Alameda County,06001,2020-06-26,grocery,-13
Alameda County,06001,2020-06-26,parks,26
Alameda County,06001,2020-06-26,transit,-58
Alameda County,06001,2020-06-26,workplaces,-50
Alameda County,06001,2020-06-26,residential,20
Alameda County,06001,2020-06-27,retail,-48
Alameda County,06001,2020-06-27,grocery,-14
Alameda County,06001,2020-06-27,parks,26
Alameda County,06001,2020-06-27,transit,-48
Alameda County,06001,2020-06-27,workplaces,-17
Alameda County,06001,2020-06-27,residential,10
Alameda County,06001,2020-06-28,retail,-47
Alameda County,06001,2020-06-28,grocery,-19
Alameda County,06001,2020-06-28,parks,33
Alameda County,06001,2020-06-28,transit,-49
Alameda County,06001,2020-06-28,workplaces,-15
Alameda County,06001,2020-06-28,residential,8
Alameda County,06001,2020-06-29,retail,-38
Alameda County,06001,2020-06-29,grocery,-16
Alameda County,06001,2020-06-29,parks,27
Alameda County,06001,2020-06-29,transit,-59
Alameda County,06001,2020-06-29,workplaces,-52
Alameda County,06001,2020-06-29,residential,20
Alameda County,06001,2020-06-30,retail,-37
Alameda County,06001,2020-06-30,grocery,-11
Alameda County,06001,2020-06-30,parks,37
Alameda County,06001,2020-06-30,transit,-59
Alameda County,06001,2020-06-30,workplaces,-53
Alameda County,06001,2020-06-30,residential,20
Alameda County,06001,2020-07-01,retail,-36
Alameda County,06001,2020-07-01,grocery,-10
Alameda County,06001,2020-07-01,parks,32
Alameda County,06001,2020-07-01,transit,-57
Alameda County,06001,2020-07-01,workplaces,-53
Alameda County,06001,2020-07-01,residential,20
Alameda County,06001,2020-07-02,retail,-32
Alameda County,06001,2020-07-02,grocery,-1
Alameda County,06001,2020-07-02,parks,38
Alameda County,06001,2020-07-02,transit,-57
